レビューID,購入日,評価,タイトル,本文,年代,リピート回数
R001,2024-04-15,5,毎朝使ってます,朝晩使い始めて2ヶ月。くすみが取れてトーンアップした気がします。軽いテクスチャで重ね使いしやすいです。,30代,3
R002,2024-04-18,4,成分が良い,VC-IP20%は他にないと思って購入。使用感は良いです。ただ少し値段が高め。,40代,1
R003,2024-04-20,5,毛穴が目立たなくなった,2ヶ月使って毛穴の開きが気にならなくなりました。友人にも勧めました。,30代,2
R004,2024-04-25,3,効果を実感中,まだ1本目で効果は様子見。成分は良さそうなのでしばらく続けてみます。,40代,1
R005,2024-05-02,5,リピート確定,3本目です。シミが薄くなってきた気がして嬉しいです。朝のルーティンに欠かせない。,30代,3
R006,2024-05-08,2,少し刺激を感じた,敏感肌には少し刺激がありました。成分は良いのですが、肌が合わない人もいるかも。,20代,1
R007,2024-05-12,5,くすみが消えた,使い始めて1ヶ月で顔色が明るくなったと言われました。続けたいです。,40代,2
R008,2024-05-19,4,テクスチャが好き,サラサラしていてスキンケアの最初に使いやすい。重ねても重くならない。,30代,1
R009,2024-05-25,3,値段がネック,効果は感じているけれど、8800円は少し高い。もう少し安ければ迷わずリピート。,30代,1
R010,2024-05-30,5,肌が変わった,3ヶ月使用。透明感が段違い。これがないと不安になるくらい手放せない。,40代,4
R011,2024-06-04,4,成分オタクとして満足,VC-IP+フェルラ酸の組み合わせを探していました。安定性が高いので安心して使えます。,30代,2
R012,2024-06-10,1,合わなかった,私の肌には合いませんでした。ニキビが増えてしまい返品しました。,20代,1
R013,2024-06-14,5,2本目購入,1本目でハリが出て2本目を購入。継続は力なりと実感しています。,50代,2
R014,2024-06-18,4,朝使いやすい,朝使ってもベタつかないのが良いです。日焼け止めとの相性も良い。,30代,1
R015,2024-06-22,3,量が少ない,30mlで8800円はコスパが微妙。効果はあると思うけど容量をもう少し増やしてほしい。,40代,1
R016,2024-06-25,5,プレゼントにも,友人への誕生日プレゼントに購入。パッケージが綺麗で喜ばれました。,30代,1
R017,2024-06-28,4,匂いが好き,ほんのり上品な香りがします。使うたびに気分が上がります。,20代,1
R018,2024-07-01,5,続けます,6ヶ月リピート中。スキンケアの核はこれです。コスパより効果を重視する人に。,40代,6
R019,2024-07-04,2,期待しすぎた,口コミを見て期待しすぎてしまいました。効果がわかりにくく、値段が高いので継続悩んでいます。,30代,1
R020,2024-07-08,5,透明感が違う,使い始めてから化粧のりが全然違います。下地なしでも肌が綺麗に見える。,30代,2
